"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://byjus.com/","text/html; charset=UTF-8","200","OK","Indexable","","e Learning for Online Courses like UPSC, K3, K10, K12, CBSE NCERT, ICSE, NEET & JEE","83","805","Online Courses for UPSC, K3, K10, K12, CBSE NCERT, ICSE, IIT-JEE & NEET available for e Learning | Online Learning for Competitive Exams Through SD Card & Tablets. Register here & download Disney. BYJU'S Early Learn App.","220","1461","","0","Personalised Learning","21","About Us","8","What Makes Us Different?","24","index,follow","","","https://byjus.com/","","","","","228631","663","8.709","0","","1066","466","98.520","509","447","13","11","","","","","18e59a66ea7ac61b6a9a354bb996084f","0.233","","","","https://byjus.com/"
"https://byjus.com/commerce/ts-grewal-solutions/","text/html; charset=UTF-8","200","OK","Indexable","","TS Grewal Solutions - Class 11th and 12th 20 Exam","49","457","Find out TS Grewal Solutions for CBSE class 11 and class 12 Accountancy to understand all the concepts in detail. To learn more- Stay tuned to BYJU'S.","150","962","","0","TS Grewal Solutions - 2020","26","TS Grewal Accountancy Solutions for Class 11 and 12:","52","","0","index,follow","","","https://byjus.com/commerce/ts-grewal-solutions/","","","","","538840","586","3.329","1","","675","462","97.670","650","551","3","3","","","","","478a4e91761196b47815e9408d66255f","0.475","","","","https://byjus.com/commerce/ts-grewal-solutions/"
"https://byjus.com/ncert-solutions-class-9-science/chapter-4-structure-of-atom/","text/html; charset=UTF-8","200","OK","Indexable","","NCERT Solutions Class 11 Chemistry Chapter 4 Structure of The Atoms - Free Download","83","784","Get NCERT Solutions Class 11 Chemistry Chapter 4 Structure of the Atoms. Download Free PDFs of NCERT Class 11 Chemistry Solutions Chapter 4 Structure Of the Atoms with examples, tips","182","1208","","0","NCERT Solutions for Class 9 Science Chapter 4- Structure Of The Atom","68","Exercise-4.1 Page: 47","21","Exercise-4.2 Page: 49","21","index,follow","","","https://byjus.com/ncert-solutions-class-9-science/chapter-4-structure-of-atom/","","","","","627711","4531","8.528","1","","493","461","97.460","1081","857","3","3","","","","","865063ea93bd47c82662777ba17cf05e","0.400","","","","https://byjus.com/ncert-solutions-class-9-science/chapter-4-structure-of-atom/"
"https://byjus.com/ncert-books/","text/html; charset=UTF-8","200","OK","Indexable","","NCERT Book PDF Download For Free (2020-21) - CBSE Class 1 to 12","63","626","Download latest (2020-21) NCERT Books in English and Hindi in PDF format for Class 1 to 12 here. Students can visit to download the latest free NCERT Book list to study for their upcoming exams.","194","1239","","0","NCERT Books - Download PDF for Class 1-12","41","Browse CBSE NCERT Books online for Class 4 to 12","48","Download CBSE NCERT Books PDF Below – Class 1 to 12","51","index,follow","","","https://byjus.com/ncert-books/","","","","","643079","4373","8.205","1","","693","462","97.670","1110","858","217","207","","","","","996e51b790d5203fba5244a3e277c5a6","0.492","","","","https://byjus.com/ncert-books/"
"https://byjus.com/pseb/pseb-syllabus/","text/html; charset=UTF-8","200","OK","Indexable","","Punjab School Education Board Syllabus - Get the updated Syllabus @ BYJU’S","74","694","Punjab School Education Board syllabus is prepared by the state education board and provide the appropriate topics necessary for students to learn the subject thoroughly.","170","1085","","0","Punjab School Education Board Syllabus","38","","0","","0","index,follow","","","https://byjus.com/pseb/pseb-syllabus/","","","","","521801","413","2.957","1","","472","462","97.670","604","534","3","3","","","","","c34fb153fcae80c637a41f1d1fddb5ec","0.365","","","","https://byjus.com/pseb/pseb-syllabus/"
"https://byjus.com/algebra-formulas/","text/html; charset=UTF-8","200","OK","Indexable","","Algebra Formulas | List of Algebraic Expressions in Maths","57","507","Get the list of basic algebra formulas in Maths at BYJU'S. Stay tuned with BYJU'S to get all the important formulas in various chapters like trigonometry, probability and so on.","177","1085","","0","Algebra Formulas","16","Important Formulas in Algebra","29","","0","index,follow","","","https://byjus.com/algebra-formulas/","","","","","539076","846","3.140","1","","475","462","97.670","610","545","3","3","","","","","41e1aab7d698eb8e23cefb119dd14506","0.379","","","","https://byjus.com/algebra-formulas/"
"https://byjus.com/biology/photosynthesis/","text/html; charset=UTF-8","200","OK","Indexable","","Photosynthesis ☀️ (Definition, Process, Stages & Significance)","62","555","Photosynthesis is a biochemical process by which, phototrophic organisms including plants, uses sunlight, carbon dioxide and water to synthesize organic compounds","162","1041","","0","Photosynthesis - Everything You Need to Know","44","What Is Photosynthesis in Biology?","34","Where Does This Process Occur?","30","index,follow","","","https://byjus.com/biology/photosynthesis/","","","","","565817","2258","4.867","1","","22","12","2.540","652","582","3","3","","","","","bcbf88d205d517bdc6e1595e8b31f8db","0.301","","","","https://byjus.com/biology/photosynthesis/"
"https://byjus.com/telangana-board/telangana-board-previous-year-question-papers/","text/html; charset=UTF-8","200","OK","Indexable","","Download Telangana Board Question Papers From Class 6 to 12","59","571","Free Download of Telangana Board Question Papers for classes 6 to 12. Available for offline reading in PDF format. Discover why question papers are important when preparing for exams","182","1179","","0","Telangana Board Question Papers","31","Introduction","12","Why are Question Papers Important?","34","index,follow","","","https://byjus.com/telangana-board/telangana-board-previous-year-question-papers/","","","","","528608","389","2.931","1","","468","462","97.670","575","504","3","3","","","","","590f873d7b8f073c2a9666b2ffb0f01c","0.544","","","","https://byjus.com/telangana-board/telangana-board-previous-year-question-papers/"
"https://byjus.com/commerce/ts-grewal-solutions-class-11-accountancy/","text/html; charset=UTF-8","200","OK","Indexable","","TS Grewal Class 11 Solutions for Accountancy 2020","49","460","TS Grewal Class 11 Solutions : TS Grewal accountancy class 11 solutions helps you in your preparation for CBSE class 11 exam 2020. At BYJU'S, students can download the study materials for free.","193","1245","","0","TS Grewal Class 11 Solutions","28","Why should the students consider learning from TS Grewal Solutions Class 11?","76","","0","index,follow","","","https://byjus.com/commerce/ts-grewal-solutions-class-11-accountancy/","","","","","541221","516","3.223","1","","686","462","97.670","655","562","3","3","","","","","335c42568339eefc0cae9d21fcd0dcfc","0.582","","","","https://byjus.com/commerce/ts-grewal-solutions-class-11-accountancy/"
"https://byjus.com/jee/integration/","text/html; charset=UTF-8","200","OK","Indexable","","Integration - Properties, Problems, Irrational Algebraic Functions","66","564","Integration - Detailed information about ✓Integration Math Formula ✓Examples ✓Properties and ✓ Types of Integration is provided here for JEE candidates.","152","979","","0","Integration of Functions","24","Standard Integrals","18","Properties of  Integration","26","index,follow","","","https://byjus.com/jee/integration/","","","","","1277949","1568","3.080","1","","11","11","2.330","654","580","3","3","","","","","5e5b97fdbf9e0eead8a09a8fc7a7ea60","0.222","","","","https://byjus.com/jee/integration/"
