"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"http://www.mindadda.com/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","0","","5","4","1.730","0","0","0","0","","","","","","1.459","","http://mindadda.com/","HTTP Redirect","http://www.mindadda.com/"
"http://mindadda.com/","text/html; charset=UTF-8","200","OK","Indexable","","MindAdda - SUper Memory, Speed Reading, Public Speaking, Spoken English, Mind Mapping and Story Telling Programs","112","1064","We are India’s Most Advanced and Exclusive Platform for Personal Empowerment. We had researched more than 3 years to find out best solutions for your Personal Empowerment which includes Personal Development, Communication Skills, Super Memory Development, Speed Reading and Many More. Your Empowerment Partner MindAdda - Your Empowerment Partner | Public Speaking, Speed Reading, Super Memory & Life Skills","406","2735","","0","","0","Empower Your Mind. Unlock Your Maximum Potential.","49","How We Can Empower You ?","24","index, follow","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","http://mindadda.com/","","","","","131973","1087","5.949","1","","304","151","65.370","63","30","19","9","","","","","1a02bc3001d7b113ba5c3fe9912652ca","0.960","Sat, 18 Jul 2020 18:05:13 GMT","","","http://mindadda.com/"
"http://mindadda.com/about-us/","text/html; charset=UTF-8","200","OK","Indexable","","About Us - MindAdda | Your Empowerment Partner","46","451","MindAdda is India's First Ever Platform for Personality Empowerment. Our programs like Speed Reading Training, Public Speaking Tools, Spoken English Progrms, Super Learning, Super Memory Programs will help you to improve your personality as well as to learn Life Skills. Learn from the experts and Mind gurus the latest and cutting edge techniques for empower your mind. Boost your Memory. Increase your Memorization. Improve your retention power. Learn advanced Mind Exercises. Learn the practices by which you can read speed, save your time with better comprehension and memorization. You can read 3 times speeder, You can remember the context 2 times faster by our exclusive program. Built confidence within you to express yourself in front of public/group. Learn soft skills and accelerate your communication skills from experts. Learn different methods to develop verbal and non verbal communication. We have exclusive programs that will empower you to unlock the maximum potential within you.We are here to help you with the best ideology to improve your brain which will create a brainstorm idea to learn and utilize your brain with 100% efficiency.","1156","7373","","0","","0","About Us","8","Learn from the very best","24","index, follow","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","http://mindadda.com/about-us/","","","","","124104","383","2.764","2","","302","150","64.940","47","23","9","8","","","","","d6387e318ea35d6a4de5792b74b9399f","0.973","Sat, 18 Jul 2020 21:31:09 GMT","","","http://mindadda.com/about-us/"
"http://mindadda.com/blogs/","text/html; charset=UTF-8","200","OK","Indexable","","Blogs & Posts - MindAdda","24","231","Blogs - MindAdda is India's First Ever Platform for Personality Empowerment. Our programs like Speed Reading Training, Public Speaking Tools, Spoken English Progrms, Super Learning, Super Memory Programs will help you to improve your personality as well as to learn Life Skills. Learn from the experts and Mind gurus the latest and cutting edge techniques for empower your mind. Boost your Memory. Increase your Memorization. Improve your retention power. Learn advanced Mind Exercises. Learn the practices by which you can read speed, save your time with better comprehension and memorization. You can read 3 times speeder, You can remember the context 2 times faster by our exclusive program. Built confidence within you to express yourself in front of public/group. Learn soft skills and accelerate your communication skills from experts. Learn different methods to develop verbal and non verbal communication. We have exclusive programs that will empower you to unlock the maximum potential within you.We are here to help you with the best ideology to improve your brain which will create a brainstorm idea to learn and utilize your brain with 100% efficiency.","1164","7421","","0","","0","HOW TO IMPROVE VOCABULARY","25","MANTRAS TO CHASE THE INTERVIEW","30","index, follow","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","http://mindadda.com/blogs/","http://mindadda.com/blogs/page/2/","","","","86030","332","3.962","2","","156","150","64.940","98","51","9","8","","","","","341288a83493bdf192ae1f722e358e91","0.844","Sat, 18 Jul 2020 21:30:43 GMT","","","http://mindadda.com/blogs/"
"http://mindadda.com/category/personality-development/","text/html; charset=UTF-8","200","OK","Indexable","","Personality Development Archives | MindAdda - Your Empowerment Partner | Public Speaking, Speed Reading, Super Memory & Life Skills","131","1222","Welcome to the Smartest and Coolest community. If you can have a believe system within you, then you can be a smarter, stronger and a happy person. We have spent many years in researching for the best techniques and methodology to empower you, to unlock your full potential, to ignite you. Through our exclusive programs you can feel the difference in you..We are India’s most advanced personality empowerment organisation, focusing on Personality Development through our various programs like Public Speaking, Speed Reading, Story Telling, Super Memory etc.","558","3611","","0","Personality Development","23","HOW TO IMPROVE VOCABULARY","25","MANTRAS TO CHASE THE INTERVIEW","30","index, follow","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","http://mindadda.com/category/personality-development/","http://mindadda.com/category/personality-development/page/2/","","","","104890","334","3.272","2","","656","150","64.940","98","51","9","8","","","","","b01ea157204bc6e6207976e16028489e","0.866","Sat, 18 Jul 2020 15:05:33 GMT","","","http://mindadda.com/category/personality-development/"
"http://mindadda.com/category/blog/self-awareness/future-lifestyle/","text/html; charset=UTF-8","200","OK","Indexable","","future lifestyle Archives | MindAdda - Your Empowerment Partner | Public Speaking, Speed Reading, Super Memory & Life Skills","124","1127","Welcome to the Smartest and Coolest community. If you can have a believe system within you, then you can be a smarter, stronger and a happy person. We have spent many years in researching for the best techniques and methodology to empower you, to unlock your full potential, to ignite you. Through our exclusive programs you can feel the difference in you..We are India’s most advanced personality empowerment organisation, focusing on Personality Development through our various programs like Public Speaking, Speed Reading, Story Telling, Super Memory etc.","558","3611","","0","future lifestyle","16","Office Etiquettes – 10 Vital Tips","33","A Unique Look to Your New Healthy Lifestyle","43","index, follow","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","http://mindadda.com/category/blog/self-awareness/future-lifestyle/","","","","","99874","221","2.552","2","","477","150","64.940","76","39","9","8","","","","","1345d9708484d780124f6ccfe57dd28f","1.025","Sat, 18 Jul 2020 15:05:12 GMT","","","http://mindadda.com/category/blog/self-awareness/future-lifestyle/"
"http://mindadda.com/speed-reading/","text/html; charset=UTF-8","200","OK","Indexable","","Speed Reading Programs - MindAdda | Your Empowerment Partner","60","598","Experience a powerful speed reading exercise that will allow you to increase your focus, easily consume at least 25% more words per minute, and shave one to two hours a day off reading emails, memos, important documents, books, and moreHave you ever wondered why distractions seem to get in the way of your growth? Speed Reading can save your time and improve your Memory Power.","378","2474","","0","","0","Let's Start Reading More Effectively & Speedy","45","Reading Phrases","15","index, follow","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","http://mindadda.com/speed-reading/","","","","","112694","308","2.627","2","","152","150","64.940","47","19","9","8","","","","","69bf48fe2c6c13664eed0796b4dfe613","0.878","Sat, 18 Jul 2020 15:04:56 GMT","","","http://mindadda.com/speed-reading/"
"http://mindadda.com/importance-of-soft-skills-in-corporate-world/","text/html; charset=UTF-8","200","OK","Indexable","","Importance of Soft Skills in Corporate World - MindAdda","55","495","Soft skills are non-technical skills. Furthermore, hard skills or technical skills can be vividly worked out or demonstrated. Moreover, they are based on the professional academic skills that you gained from college.On the other hand, soft skills are the nurturing of your natural skills development. They are some special characters you develop to communicate better in order to finish a task in a fine-tuned way.To be specific, soft skills complement your technical skills. What soft skills should you work on to perform better in the corporate world?","553","3401","","0","Importance of Soft Skills in Corporate World","44","Post navigation","15","","0","index, follow","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","http://mindadda.com/importance-of-soft-skills-in-corporate-world/","","","","","95556","766","6.149","2","","68","20","8.660","66","34","10","9","","","","","d15d4d48c67e83d0cadf0adb6261571a","0.845","Sat, 18 Jul 2020 15:05:06 GMT","","","http://mindadda.com/importance-of-soft-skills-in-corporate-world/"
"http://mindadda.com/professional-email-writing-skills/","text/html; charset=UTF-8","200","OK","Indexable","","Professional Email writing skills","33","273","Increasingly, universities and colleges are emphasizing the development of communication skills. In addition to the core skills, employers also expect their team to have strong written and oral communication skills.Writing emails in the workplace requires a specific set of skills. Below are few tips to write professional emails","329","2009","","0","Professional Email writing skills","33","Post navigation","15","","0","index, follow","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","http://mindadda.com/professional-email-writing-skills/","","","","","89543","714","6.172","2","","64","20","8.660","61","33","9","8","","","","","58a6d25d2b6d5fa94e04623f1cb8a0c1","0.856","Sat, 18 Jul 2020 21:31:06 GMT","","","http://mindadda.com/professional-email-writing-skills/"
"http://mindadda.com/contact/","text/html; charset=UTF-8","200","OK","Indexable","","Contact Us - MindAdda","21","204","Contact Us - MindAdda | MindAdda is India's First Ever Platform for Personality Empowerment. Our programs like Speed Reading Training, Public Speaking Tools, Spoken English Progrms, Super Learning, Super Memory Programs will help you to improve your personality as well as to learn Life Skills. Learn from the experts and Mind gurus the latest and cutting edge techniques for empower your mind. Boost your Memory. Increase your Memorization. Improve your retention power. Learn advanced Mind Exercises. Learn the practices by which you can read speed, save your time with better comprehension and memorization. You can read 3 times speeder, You can remember the context 2 times faster by our exclusive program. Built confidence within you to express yourself in front of public/group. Learn soft skills and accelerate your communication skills from experts. Learn different methods to develop verbal and non verbal communication. We have exclusive programs that will empower you to unlock the maximum potential within you.We are here to help you with the best ideology to improve your brain which will create a brainstorm idea to learn and utilize your brain with 100% efficiency.","1180","7529","","0","Contact Us","10","Frequently Asked Questions.","27","Thank you !!!!","14","index, follow","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","http://mindadda.com/contact/","","","","","115541","527","3.720","2","","162","150","64.940","56","21","9","8","","","","","770298cea7ef6274717b372e5c906edd","0.847","Sat, 18 Jul 2020 22:21:31 GMT","","","http://mindadda.com/contact/"
